PLAYER,SEASON,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POS,AGE,LEBRON,O-LEBRON,D-LEBRON,WAR,LEBRON CONTRACT VALUE,BOXLEBRON,BOXOLEBRON,BOXDLEBRON
Nikola Jokic,2022-23,DEN,Post Scorer,"2,323",C,28,7.31,5.55,1.76,13.8,"43,920,291.00",5.68,4.5,1.17
Giannis Antetokounmpo,2022-23,MIL,Shot Creator,"2,024",PF,28,5.87,4.73,1.14,10.4,"33,185,325.00",5.33,4.11,1.22
Joel Embiid,2022-23,PHI,Shot Creator,"2,284",C,29,5.86,3.78,2.08,11.7,"37,414,842.00",5.83,4.61,1.22
Jimmy Butler,2022-23,MIA,Shot Creator,"2,138",SF,33,5.01,4.27,0.74,9.9,"31,693,331.00",4.32,3.59,0.73
Anthony Davis,2022-23,LAL,Shot Creator,"1,905",C,30,4.9,2.21,2.69,8.7,"27,840,660.00",4.16,2.38,1.77
Jaren Jackson Jr.,2022-23,MEM,Versatile Big,"1,787",C,23,4.52,1.11,3.41,7.8,"24,853,002.00",3.77,0.65,3.12
Jayson Tatum,2022-23,BOS,Shot Creator,"2,732",PF,25,4.42,4.29,0.13,11.7,"37,494,864.00",4.98,4.16,0.82
Donovan Mitchell,2022-23,CLE,Primary Ball Handler,"2,432",SG,26,4.31,3.58,0.73,10.3,"32,847,180.00",3.3,3.42,-0.11
Luka Doncic,2022-23,DAL,Shot Creator,"2,391",PG,24,4.22,5.03,-0.81,10,"31,897,296.00",5.73,5.9,-0.17
LeBron James,2022-23,LAL,Shot Creator,"1,954",PF,38,4.11,3.86,0.25,8,"25,630,265.00",2.98,3.23,-0.26
Kawhi Leonard,2022-23,LAC,Shot Creator,"1,748",SF,31,4.05,3.01,1.04,7.1,"22,736,546.00",3.07,2.74,0.33
Nic Claxton,2022-23,BRK,Roll + Cut Big,"2,271",C,23,3.85,0.64,3.21,9,"28,664,900.00",2.56,-0.23,2.78
Ja Morant,2022-23,MEM,Slasher,"1,948",PG,23,3.81,3.73,0.09,7.7,"24,469,352.00",3.14,3.42,-0.29
Shai Gilgeous-Alexander,2022-23,OKC,Shot Creator,"2,416",PG,24,3.79,3.58,0.21,9.5,"30,204,862.00",3.52,3.24,0.28
Damian Lillard,2022-23,POR,Shot Creator,"2,107",PG,32,3.73,5.99,-2.26,8.2,"26,122,251.00",3.48,5.52,-2.04
James Harden,2022-23,PHI,Shot Creator,"2,135",PG,33,3.59,3.45,0.14,8.1,"25,889,553.00",4.19,3.86,0.33
Stephen Curry,2022-23,GSW,Primary Ball Handler,"1,941",PG,35,3.59,4.06,-0.47,7.4,"23,538,985.00",3.57,4.25,-0.68
Jrue Holiday,2022-23,MIL,Primary Ball Handler,"2,183",PG,32,3.47,1.88,1.58,8.1,"25,949,830.00",2.13,1.87,0.27
Kevin Durant,2022-23,BRK/PHO,Shot Creator,"1,672",SF,34,3.38,2.65,0.73,6.1,"19,583,728.00",2.6,2.49,0.11
Fred VanVleet,2022-23,TOR,Primary Ball Handler,"2,535",PG,29,3.25,2.98,0.26,9.1,"29,032,500.00",2.21,1.8,0.4
Tyrese Haliburton,2022-23,IND,Primary Ball Handler,"1,883",PG,23,3.22,3.49,-0.26,6.7,"21,486,563.00",3.08,3.81,-0.73
Paul George,2022-23,LAC,Shot Creator,"1,939",SG,32,3.15,2.14,1.02,6.8,"21,846,909.00",2.17,2.14,0.03
Domantas Sabonis,2022-23,SAC,Roll + Cut Big,"2,736",C,26,3.14,2.34,0.8,9.6,"30,779,087.00",3.5,2.7,0.8
Darius Garland,2022-23,CLE,Primary Ball Handler,"2,447",PG,23,3.12,2.91,0.21,8.6,"27,421,862.00",2.16,2.2,-0.05
Walker Kessler,2022-23,UTA,Roll + Cut Big,"1,703",C,21,3.1,0.03,3.07,6,"19,017,513.00",1.93,-0.28,2.21
Devin Booker,2022-23,PHO,Shot Creator,"1,835",SG,26,3.1,3.7,-0.6,6.4,"20,481,404.00",2,2.69,-0.69
Kristaps Porzingis,2022-23,WAS,Versatile Big,"2,120",C,27,3.05,1.85,1.2,7.4,"23,470,843.00",3.05,2.17,0.88
Clint Capela,2022-23,ATL,Roll + Cut Big,"1,730",C,28,3,1.27,1.73,5.9,"18,969,984.00",1.59,0.32,1.27
Brook Lopez,2022-23,MIL,Stretch Big,"2,373",C,35,2.81,-0.46,3.26,7.9,"25,115,754.00",2.39,0.11,2.27
Chris Paul,2022-23,PHO,Primary Ball Handler,"1,889",PG,37,2.61,1.49,1.12,6,"19,270,352.00",2.82,1.7,1.12
Kyrie Irving,2022-23,BRK/DAL,Shot Creator,"2,240",PG,31,2.52,3.17,-0.65,7,"22,455,056.00",2.26,3.05,-0.79
Lauri Markkanen,2022-23,UTA,Stretch Big,"2,273",SF,25,2.51,2.7,-0.19,7.1,"22,736,268.00",2.14,2.93,-0.78
Evan Mobley,2022-23,CLE,Roll + Cut Big,"2,715",PF,21,2.51,-0.58,3.08,8.5,"27,136,690.00",2.21,0.03,2.19
Aaron Gordon,2022-23,DEN,Shot Creator,"2,055",PF,27,2.47,1.76,0.71,6.4,"20,373,574.00",1.42,1.33,0.08
Pascal Siakam,2022-23,TOR,Shot Creator,"2,652",C,29,2.43,2.08,0.35,8.2,"26,088,870.00",1.52,1.69,-0.17
Zion Williamson,2022-23,NOP,Shot Creator,956,PF,22,2.42,2.13,0.29,2.9,"9,391,014.00",1.73,1.93,-0.2
Derrick White,2022-23,BOS,Stationary Shooter,"2,319",SG,28,2.41,0.82,1.58,7.1,"22,710,963.00",1.99,0.9,1.09
DeMar DeRozan,2022-23,CHI,Shot Creator,"2,682",SF,33,2.4,1.81,0.59,8.2,"26,248,223.00",1.81,1.39,0.42
Julius Randle,2022-23,NYK,Shot Creator,"2,737",PF,28,2.33,3.21,-0.89,8.3,"26,359,922.00",2.82,2.9,-0.08
Jarrett Allen,2022-23,CLE,Roll + Cut Big,"2,220",C,24,2.2,0.04,2.17,6.5,"20,837,735.00",2,0.12,1.87
Draymond Green,2022-23,GSW,Roll + Cut Big,"2,297",PF,33,2.17,-0.89,3.07,6.7,"21,432,442.00",0.87,-1.14,2
Immanuel Quickley,2022-23,NYK,Primary Ball Handler,"2,344",PG,23,2.11,1.9,0.21,6.8,"21,576,632.00",0.94,1.28,-0.34
Myles Turner,2022-23,IND,Stretch Big,"1,825",C,27,2.09,0.12,1.98,5.2,"16,724,703.00",1.78,0.42,1.37
Trae Young,2022-23,ATL,Primary Ball Handler,"2,541",PG,24,2.09,3.99,-1.9,7.3,"23,258,451.00",1.92,3.56,-1.64
De'Aaron Fox,2022-23,SAC,Slasher,"2,435",PG,25,2.08,2.96,-0.88,7,"22,266,049.00",2.67,3.23,-0.56
Alex Caruso,2022-23,CHI,Stationary Shooter,"1,575",PG,29,2.08,-0.89,2.97,4.5,"14,386,024.00",-0.02,-1.84,1.82
Steven Adams,2022-23,MEM,Roll + Cut Big,"1,133",C,29,2.01,0.14,1.87,3.2,"10,204,547.00",0.8,-0.5,1.31
Desmond Bane,2022-23,MEM,Secondary Ball Handler,"1,842",SG,24,1.97,1.76,0.22,5.1,"16,437,334.00",1.59,1.64,-0.05
Jalen Brunson,2022-23,NYK,Shot Creator,"2,379",PG,26,1.89,3.12,-1.23,6.5,"20,827,597.00",2.14,2.73,-0.59
Robert Williams III,2022-23,BOS,Roll + Cut Big,824,C,25,1.85,-0.21,2.06,2.2,"7,146,094.00",1.01,-0.75,1.75
Kevon Looney,2022-23,GSW,Roll + Cut Big,"1,958",C,27,1.68,0.33,1.35,5.1,"16,313,213.00",1.85,0.25,1.6
Nikola Vucevic,2022-23,CHI,Versatile Big,"2,746",C,32,1.67,0.61,1.07,7.2,"22,852,447.00",2.01,0.59,1.42
Josh Hart,2022-23,POR/NYK,Stationary Shooter,"2,454",SG,28,1.67,0.09,1.57,6.4,"20,393,318.00",-0.36,-0.89,0.53
Jakob Poeltl,2022-23,SAS/TOR,Roll + Cut Big,"1,906",C,27,1.59,-0.53,2.12,4.9,"15,545,407.00",0.82,-0.23,1.05
Bam Adebayo,2022-23,MIA,Shot Creator,"2,598",C,25,1.54,0.07,1.46,6.5,"20,902,608.00",1.17,-0.05,1.22
Chris Boucher,2022-23,TOR,Stretch Big,"1,523",PF,30,1.53,0.94,0.59,3.8,"12,231,898.00",0.24,-0.11,0.35
Andre Drummond,2022-23,CHI,Roll + Cut Big,849,C,29,1.52,-0.58,2.1,2.1,"6,804,126.00",1.21,-0.56,1.77
Spencer Dinwiddie,2022-23,DAL/BRK,Shot Creator,"2,725",PG,30,1.49,1.76,-0.28,6.8,"21,655,714.00",1.42,2.08,-0.66
Cameron Johnson,2022-23,PHO/BRK,Stationary Shooter,"1,200",PF,27,1.46,0.95,0.51,3,"9,459,023.00",0.83,0.87,-0.04
Alperen Sengun,2022-23,HOU,Post Scorer,"2,171",C,20,1.43,0.8,0.64,5.3,"17,018,965.00",-0.03,-0.22,0.2
Bradley Beal,2022-23,WAS,Shot Creator,"1,673",SG,29,1.43,2.03,-0.6,4.1,"13,093,889.00",0.77,1.61,-0.84
Khris Middleton,2022-23,MIL,Shot Creator,801,SF,31,1.4,1.41,-0.01,2,"6,228,405.00",1.01,1.64,-0.63
Isaiah Hartenstein,2022-23,NYK,Roll + Cut Big,"1,628",C,24,1.39,-0.57,1.96,4,"12,627,333.00",-0.35,-1.68,1.34
LaMelo Ball,2022-23,CHO,Primary Ball Handler,"1,268",PG,21,1.37,2.19,-0.82,3.1,"9,767,691.00",1.1,1.84,-0.74
