Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
378,Cameron Payne,PG,29,TOT,56,3,875,7.3,16.3,0.445,3.6,9.3,0.388,3.7,7.1,0.519,2.5,3,0.852,0.5,3.5,4,7.6,1.4,0.3,2.2,4.7,20.7,,120,119,payneca01
378,Cameron Payne,PG,29,MIL,47,2,702,6.9,15.1,0.455,3.5,8.9,0.397,3.3,6.2,0.538,2.5,3,0.841,0.3,3.9,4.2,7.4,1.5,0.2,2.1,5,19.7,,122,118,payneca01
378,Cameron Payne,PG,29,PHI,9,1,173,9,21.7,0.416,3.9,11,0.359,5.1,10.7,0.474,2.5,2.8,0.9,1.1,2,3.1,8.5,0.8,0.6,2.5,3.7,24.5,,114,121,payneca01
379,Gary Payton II,SG,31,GSW,26,0,408,7.5,14.4,0.525,1.5,4.6,0.333,6,9.8,0.614,1.1,1.7,0.643,3.9,5.3,9.2,3.1,3.3,1.1,1.9,5,17.7,,120,113,paytoga02
380,Drew Peterson,PF,24,BOS,1,0,3,16.3,16.3,1,16.3,16.3,1,0,0,,0,0,,0,0,0,16.3,0,0,0,16.3,49,,282,120,peterdr01
381,Filip Petrušev,C,23,TOT,3,0,10,4.8,9.7,0.5,0,0,,4.8,9.7,0.5,4.8,9.7,0.5,0,4.8,4.8,0,0,0,0,4.8,14.5,,108,122,petrufi01
381,Filip Petrušev,C,23,PHI,1,0,3,0,0,,0,0,,0,0,,0,0,,0,16.3,16.3,0,0,0,0,0,0,,,115,petrufi01
381,Filip Petrušev,C,23,SAC,2,0,7,6.9,13.8,0.5,0,0,,6.9,13.8,0.5,6.9,13.8,0.5,0,0,0,0,0,0,0,6.9,20.6,,108,125,petrufi01
382,Julian Phillips,SF,20,CHI,34,0,244,4.9,11.9,0.414,1.4,5.5,0.259,3.5,6.3,0.548,1.6,2.9,0.571,1.8,3.7,5.5,2.7,0.6,1.2,1.4,6.9,12.9,,104,119,phillju01
383,Jalen Pickett,SG,24,DEN,20,0,107,5.6,13.9,0.4,3.2,10.2,0.318,2.3,3.7,0.625,1.4,1.9,0.75,0.5,4.6,5.1,6.5,1.4,0,3.2,5.1,15.8,,103,117,pickeja02
384,Scotty Pippen Jr.,PG,23,MEM,8,4,181,7.5,15.9,0.475,3.5,6.2,0.565,4,9.7,0.417,4,5.7,0.714,2.2,5.1,7.3,9.7,2.2,1.1,4,5.7,22.6,,119,114,pippesc02
385,Mason Plumlee,C,33,LAC,27,9,457,6.6,10.2,0.642,0,0,,6.6,10.2,0.642,5.2,7.5,0.686,4.1,12.4,16.4,3.5,1.1,1,2.1,4.4,18.3,,134,113,plumlma01
386,Brandin Podziemski,SG,20,GSW,52,19,1392,6.9,15.3,0.451,2.2,6.1,0.366,4.7,9.3,0.507,1.3,2.1,0.613,2.8,7.6,10.4,7,1.5,0.3,2.3,3.2,17.4,,116,116,podzibr01
387,Jakob Poeltl,C,28,TOR,50,50,1319,9.1,13.9,0.656,0,0,,9.1,13.9,0.656,2.2,3.9,0.551,5.4,10.4,15.7,4.7,1.3,2.8,2.8,5.5,20.3,,125,114,poeltja01
388,Aleksej Pokusevski,PF,22,OKC,10,0,60,3.2,12.8,0.25,1.6,8.8,0.182,1.6,4,0.4,1.6,3.2,0.5,1.6,6.4,8,4,0.8,0.8,2.4,4,9.6,,79,115,pokusal01
389,Jordan Poole,SG,24,WAS,58,52,1699,9.3,23.1,0.401,3.3,10.6,0.31,6,12.5,0.478,4,4.7,0.86,0.6,3.4,4,5.9,1.8,0.5,3.5,5.2,25.8,,99,122,poolejo01
390,Craig Porter Jr.,PG,23,CLE,36,5,498,8.8,17.4,0.506,0.7,2.1,0.333,8.1,15.3,0.529,3.4,4.7,0.708,1.5,6.8,8.3,9.3,1.8,1.2,3.4,3.3,21.6,,114,111,portecr01
391,Jontay Porter,PF,24,TOR,18,5,228,5.5,15.1,0.366,2.5,8.1,0.316,3,7,0.424,2.3,2.5,0.917,3.6,8.1,11.7,6.8,2.5,2.3,2.3,6.1,15.9,,111,113,portejo01
392,Michael Porter Jr.,SF,25,DEN,60,60,1905,10,20.7,0.481,4.3,10.8,0.398,5.7,9.9,0.572,1.7,2,0.821,2.1,9,11.2,2.3,0.8,1.1,1.7,2.9,25.9,,117,114,portemi01
393,Otto Porter Jr.,SF,30,TOR,15,1,174,3.9,9.2,0.424,2.2,6.4,0.348,1.7,2.8,0.6,0.8,0.8,1,1.7,6.4,8.1,2.2,1.4,1.4,0.6,5.3,10.8,,123,118,porteot01
394,Bobby Portis,PF,28,MIL,61,1,1458,10.4,21,0.495,2.3,6.1,0.38,8.1,14.9,0.542,2.6,3.3,0.782,3.3,10.5,13.8,2.4,1.5,0.8,1.9,4.6,25.7,,115,114,portibo01
395,Kristaps Porziņģis,C,28,BOS,44,44,1303,11.2,21.2,0.526,3.2,8.4,0.375,8,12.8,0.625,8,9.4,0.859,2.7,8.7,11.4,3.2,1,3,2.6,4.6,33.5,,129,109,porzikr01
396,Micah Potter,PF,25,UTA,2,0,7,0,6.9,0,0,6.9,0,0,0,,0,0,,0,27.4,27.4,0,0,0,0,0,0,,0,112,pottemi01
397,Dwight Powell,C,32,DAL,50,8,734,4.4,6.2,0.705,0.1,0.1,0.5,4.3,6.1,0.71,3.9,5.4,0.723,5.3,6.6,11.9,4.9,1.4,1.2,1.8,6.5,12.7,,150,117,poweldw01
398,Norman Powell,SG,30,LAC,58,1,1484,9.4,19,0.496,4.3,9.4,0.456,5.2,9.7,0.534,3.2,3.9,0.831,0.3,4.6,4.9,2,1,0.6,1.7,3.5,26.4,,121,118,powelno01
399,Jason Preston,PG,24,UTA,1,0,1,0,0,,0,0,,0,0,,0,0,,48,0,48,0,0,0,48,0,0,,52,128,prestja01
400,Joshua Primo,SG,21,LAC,2,0,10,4.9,14.7,0.333,0,4.9,0,4.9,9.8,0.5,0,0,,4.9,0,4.9,0,0,4.9,19.6,0,9.8,,37,118,primojo01
401,Taurean Prince,PF,29,LAL,59,49,1718,5.4,12.6,0.431,3,8,0.382,2.4,4.6,0.515,1.1,1.5,0.717,0.4,4.4,4.7,2.8,1.4,0.7,1.5,3.4,15,,106,118,princta02
402,Payton Pritchard,PG,26,BOS,60,0,1232,7.1,16,0.443,4.1,10.7,0.383,3,5.3,0.564,1.2,1.5,0.811,2.1,5.4,7.5,6.5,1.1,0.2,1.6,3.1,19.4,,127,115,pritcpa01
403,Olivier-Maxence Prosper,PF,21,DAL,33,0,260,4.8,13.6,0.351,1.5,6.3,0.235,3.3,7.4,0.45,4.2,6.3,0.676,3.3,8.1,11.4,3.5,0.9,0.6,0.9,3.1,15.3,,112,118,prospol01
404,Trevelin Queen,SG,26,ORL,13,0,163,4.2,11.5,0.368,0.9,5.1,0.176,3.3,6.3,0.524,2.7,3.6,0.75,0.9,4.8,5.7,5.4,2.1,1.5,2.1,4.5,12.1,,101,111,queentr01
405,Neemias Queta,C,24,BOS,23,0,283,8.5,13.9,0.613,0,0,,8.5,13.9,0.613,2.6,3.5,0.75,7.6,10,17.7,1.9,1.7,2.4,1.6,7.8,19.6,,137,107,quetane01
406,Immanuel Quickley,SG-PG,24,TOT,56,26,1575,9.6,22.1,0.434,4.4,10.8,0.406,5.2,11.3,0.46,4.6,5.4,0.856,0.4,5.6,6,7.2,1.2,0.2,2.2,2.9,28.1,,120,119,quickim01
406,Immanuel Quickley,SG,24,NYK,30,0,720,10.6,23.3,0.454,4.4,11.2,0.395,6.1,12,0.509,5.7,6.5,0.872,0.3,5,5.3,5.1,1.1,0.2,2.2,3.1,31.2,,123,117,quickim01
406,Immanuel Quickley,PG,24,TOR,26,26,855,8.8,21.1,0.416,4.3,10.3,0.415,4.5,10.7,0.416,3.8,4.5,0.838,0.5,6,6.5,8.9,1.2,0.3,2.2,2.8,25.6,,117,120,quickim01
407,Lester Quinones,SG,23,GSW,26,0,341,6.4,15.9,0.398,3.5,9.6,0.368,2.8,6.4,0.444,2.4,3.5,0.68,2.8,5.9,8.8,4.1,0.7,0.3,2.3,5.5,18.6,,112,119,quinole01
408,Julius Randle,PF,29,NYK,46,46,1630,12.1,25.6,0.472,2.3,7.5,0.311,9.8,18.2,0.539,7.2,9.3,0.781,3,9.9,13,7,0.8,0.4,4.9,3.8,33.8,,113,115,randlju01
409,Duop Reath,C,27,POR,45,13,782,9.4,20.1,0.469,3.7,10.3,0.36,5.7,9.8,0.583,2.7,3.9,0.694,4.2,6.7,10.9,3,1.4,1.7,2.2,7.1,25.3,,118,116,reathdu01
410,Austin Reaves,SG,25,LAL,62,37,1950,8.3,16.9,0.491,2.6,7.2,0.363,5.7,9.7,0.586,4.4,5.1,0.866,1,5.1,6.1,8.4,1.3,0.3,3.2,2.8,23.7,,119,118,reaveau01
411,Cam Reddish,SF,24,LAL,38,26,858,4.8,11.8,0.406,1.9,5.5,0.343,2.9,6.3,0.46,2,2.6,0.783,1.2,3.7,4.9,2.6,2.5,0.6,1.7,3.2,13.4,,103,116,reddica01
412,Paul Reed,C,24,PHI,60,22,1100,7.8,14.3,0.55,0.6,1.6,0.361,7.3,12.7,0.573,1.6,2.1,0.75,5.9,9,14.8,3.3,1.8,2.3,1.9,6.4,17.9,,125,112,reedpa01
413,Naz Reid,C,24,MIN,61,0,1403,9.9,20.6,0.48,3.9,9.8,0.401,5.9,10.8,0.55,2.6,3.4,0.765,2.1,8.3,10.4,2.4,1.5,1.7,2.6,4.4,26.3,,112,107,reidna01
414,Jared Rhoden,SG,24,DET,6,0,42,6.8,12.5,0.545,1.1,4.6,0.25,5.7,8,0.714,2.3,2.3,1,1.1,4.6,5.7,4.6,0,2.3,3.4,4.6,17.1,,111,122,rhodeja01
415,Nick Richards,C,26,CHO,51,38,1331,7.4,10.6,0.692,0,0,0,7.4,10.6,0.694,4.1,5.6,0.73,5,10.1,15.1,1.6,0.7,2.4,2,5,18.8,,136,118,richani01
416,Josh Richardson,SG,30,MIA,43,6,1103,6.9,15.6,0.444,3,8.5,0.347,4,7.1,0.561,2.3,2.4,0.944,0.8,4.6,5.4,4.7,1.1,0.6,1.6,3.4,19.1,,116,116,richajo01
417,Duncan Robinson,SF,29,MIA,55,23,1545,8.1,17.9,0.453,4.9,12.1,0.405,3.2,5.8,0.556,2.2,2.5,0.886,0.4,3.9,4.3,5.3,1.2,0.4,2.4,4.1,23.4,,116,116,robindu01
418,Jerome Robinson,SG,26,GSW,14,0,56,5.2,18.9,0.273,1.7,11.2,0.154,3.4,7.7,0.444,5.2,8.6,0.6,0.9,1.7,2.6,2.6,0,1.7,0,2.6,17.2,,93,122,robinje01
419,Mitchell Robinson,C,25,NYK,21,21,613,4.7,8,0.592,0,0,,4.7,8,0.592,1.1,3.1,0.368,9.1,8.5,17.6,1.2,2.6,2.2,1.7,3.3,10.6,,128,109,robinmi01
420,Orlando Robinson,C,23,MIA,26,7,265,6,12,0.5,1.3,2.6,0.5,4.7,9.4,0.5,3.4,4.5,0.75,3.9,9.7,13.7,5.2,1.3,1.3,2.8,6.6,16.7,,119,111,robinor01
421,Jeremiah Robinson-Earl,PF,23,NOP,26,1,254,6.7,13,0.515,2.3,5.6,0.414,4.4,7.5,0.59,2.3,2.9,0.8,3.3,7.7,10.9,2.1,1.7,0.8,2.3,3.5,18,,120,113,robinje02
422,David Roddy,PF,22,TOT,53,13,1134,6.7,16.8,0.403,2.1,6.8,0.302,4.7,9.9,0.472,2,2.9,0.687,2.2,6.5,8.7,3.3,1.1,0.5,2.4,3,17.5,,98,116,roddyda01
422,David Roddy,PF,22,MEM,48,13,1114,6.8,16.9,0.402,2.1,6.8,0.301,4.7,10.1,0.47,2,2.9,0.687,2.2,6.5,8.8,3.3,1.1,0.5,2.4,3,17.6,,98,116,roddyda01
422,David Roddy,PF,22,PHO,5,0,20,4.9,9.7,0.5,2.4,7.3,0.333,2.4,2.4,1,0,0,,0,4.9,4.9,0,0,0,2.4,2.4,12.1,,93,121,roddyda01
423,Ryan Rollins,PG,21,WAS,10,0,66,9.2,17.6,0.52,1.4,2.1,0.667,7.7,15.5,0.5,9.2,12,0.765,1.4,6.3,7.7,7.7,5.6,2.1,4.9,4.9,28.9,,115,110,rolliry01
424,Derrick Rose,PG,35,MEM,24,7,399,9.3,20.2,0.461,1.8,5,0.366,7.5,15.1,0.492,2.9,3.3,0.889,0.9,4.6,5.5,9.5,1,0.2,3.8,2.6,23.3,,108,118,rosede01
425,Terry Rozier,SG-PG,29,TOT,43,42,1460,10.6,24.1,0.442,3.3,9.9,0.333,7.3,14.2,0.518,4.8,5.6,0.867,0.9,4.9,5.8,9.1,1.4,0.5,2.8,2.5,29.4,,115,120,roziete01
425,Terry Rozier,SG,29,CHO,30,30,1065,11.6,25.3,0.459,3.8,10.7,0.358,7.8,14.6,0.533,5,5.9,0.845,0.8,4.6,5.4,9.1,1.5,0.6,3,2.4,32,,116,122,roziete01
425,Terry Rozier,PG,29,MIA,13,12,395,8,20.8,0.386,1.9,7.8,0.242,6.2,13.1,0.471,4.4,4.6,0.946,1.4,5.7,7,9,1.4,0.5,2.3,2.8,22.3,,109,115,roziete01
426,Rayan Rupert,SG,19,POR,18,0,133,5.9,17,0.348,3,7,0.421,3,10,0.296,2.6,3.7,0.7,3.3,5.5,8.9,4.8,1.1,0,2.6,3.3,17.4,,102,120,ruperra01
427,D'Angelo Russell,PG,27,LAL,57,50,1807,9.7,20.9,0.466,4.1,9.9,0.414,5.6,11,0.512,3,3.7,0.809,0.5,3.8,4.3,9.5,1.2,0.7,2.9,3.1,26.5,,117,119,russeda01
428,Matt Ryan,SF,26,NOP,18,1,342,6.4,14.2,0.45,5.4,11.5,0.469,1,2.7,0.368,1.9,2,0.929,0.9,4.4,5.3,2.1,0.9,0.1,2.6,4,20.1,,116,118,ryanma01
429,Domantas Sabonis,C,27,SAC,59,59,2111,10.8,17.7,0.614,0.6,1.5,0.424,10.2,16.1,0.631,4.5,6.5,0.689,4.5,13.3,17.8,11.4,1.1,0.8,4.3,4.2,26.8,,129,115,sabondo01
430,Luka Šamanić,PF,24,UTA,29,0,166,7.5,19.4,0.388,2,7.8,0.259,5.5,11.6,0.475,5.2,6.4,0.818,2.3,11.3,13.6,1.2,0.3,0.9,3.5,5.2,22.3,,97,120,samanlu01
431,Jermaine Samuels,SF,25,HOU,11,0,53,7.3,10,0.727,0,1.8,0,7.3,8.2,0.889,1.8,1.8,1,1.8,8.2,10,1.8,0.9,0.9,0,3.6,16.4,,161,114,samueje01
432,Adama Sanogo,PF,21,CHI,3,0,11,13.6,13.6,1,0,0,,13.6,13.6,1,9.1,13.6,0.667,9.1,18.1,27.2,0,0,0,4.5,0,36.3,,148,114,sanogad01
433,Gui Santos,PF,21,GSW,15,0,138,6.6,13.3,0.5,2.4,5.9,0.412,4.2,7.3,0.571,4.9,5.2,0.933,5.2,9.8,15,3.5,1,0.7,2.4,5.6,20.6,,133,115,santogu01
434,Dario Šarić,C,29,GSW,58,9,1059,8,17.2,0.466,3.3,8.8,0.378,4.7,8.4,0.557,3.5,4,0.854,3.2,9.3,12.5,6.3,1.4,0.4,3.3,5,22.8,,120,115,saricda01
435,Olivier Sarr,C,24,OKC,13,0,90,5.3,9.6,0.556,1.1,3.2,0.333,4.3,6.4,0.667,4.8,6.9,0.692,5.3,13.3,18.7,1.1,0,3.2,1.6,9.1,16.5,,134,109,sarrol01
436,Marcus Sasser,PG,23,DET,51,0,838,8.3,18.2,0.459,3.4,8.2,0.41,5,9.9,0.5,2,2.3,0.854,0.4,4.2,4.6,8.9,1.7,0.5,3,4,22.1,,115,121,sassema01
437,Admiral Schofield,PF,26,ORL,14,0,52,5.7,15.1,0.375,2.8,9.5,0.3,2.8,5.7,0.5,0,1.9,0,1.9,6.6,8.5,4.7,0,0,3.8,6.6,14.2,,87,117,schofad01
438,Dennis Schröder,PG,30,TOT,60,38,1800,7.8,17.8,0.437,2.6,7,0.377,5.1,10.8,0.476,3.6,4.3,0.831,0.6,3.9,4.5,9.6,1.3,0.3,2.8,3.4,21.8,,115,121,schrode01
438,Dennis Schröder,PG,30,TOR,51,33,1559,7.7,17.3,0.442,2.4,6.8,0.35,5.3,10.5,0.501,3.9,4.6,0.852,0.7,3.7,4.3,9.7,1.4,0.2,2.6,3.3,21.6,,118,121,schrode01
438,Dennis Schröder,PG,30,BRK,9,5,241,8.6,20.8,0.412,4.3,8.2,0.525,4.3,12.6,0.339,1.2,2.2,0.545,0.2,5.3,5.5,8.6,0.6,0.4,4.1,4.1,22.6,,102,120,schrode01
