Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
439,Dereon Seabron,SG,23,NOP,6,0,55,3.5,11.5,0.308,0.9,1.8,0.5,2.7,9.7,0.273,4.4,5.3,0.833,0.9,5.3,6.2,4.4,1.8,0.9,0,3.5,12.4,,115,114,seabrde01
440,Alperen Şengün,C,21,HOU,59,59,1905,12.3,22.9,0.537,0.8,2.7,0.287,11.5,20.2,0.571,5.9,8.3,0.706,4.2,9.5,13.7,7.3,1.7,1.1,4,5,31.2,,118,111,sengual01
441,Brice Sensabaugh,SF,20,UTA,11,0,88,6.5,16.4,0.4,3.8,9.3,0.412,2.7,7.1,0.385,1.6,1.6,1,0.5,4.4,4.9,2.2,0.5,0,4.9,6,18.5,,89,124,sensabr01
442,Collin Sexton,SG,25,UTA,61,38,1521,11.6,23.9,0.485,3.1,7.7,0.398,8.6,16.2,0.526,8.2,9.5,0.861,1.6,3.2,4.8,8.9,1.5,0.4,3.8,3.8,34.5,,124,122,sextoco01
443,Landry Shamet,SG,26,WAS,43,5,686,7.9,18.3,0.43,3.6,10.5,0.342,4.3,7.8,0.548,2.6,3.1,0.826,1.1,3,4.1,3.5,1.7,0.6,1.9,4.9,21.9,,108,122,shamela01
444,Day'Ron Sharpe,C,22,BRK,45,1,704,9.3,15.9,0.586,0.3,0.8,0.364,9,15.1,0.597,4.4,7.1,0.618,8.5,12.8,21.2,4.5,1.4,2.4,3.4,7.1,23.3,,124,111,sharpda01
445,Shaedon Sharpe,SG,20,POR,32,25,1059,8.2,20.2,0.406,2.8,8.4,0.333,5.4,11.8,0.457,4.6,5.5,0.824,2,5.5,7.4,4.4,1.3,0.6,3.3,4.1,23.7,,105,119,sharpsh01
446,Ben Sheppard,SG,22,IND,37,0,428,5.5,13.4,0.41,3.1,9.1,0.337,2.4,4.3,0.564,1.5,1.9,0.824,0.8,4.4,5.2,3.2,2.2,0.2,0.8,5.7,15.6,,117,120,sheppbe01
447,Pascal Siakam,PF,29,TOT,60,60,2041,11.9,22.2,0.535,1.7,5,0.34,10.2,17.3,0.591,5.1,6.9,0.735,2.2,7,9.1,6.6,1.1,0.4,2.7,3.4,30.5,,121,120,siakapa01
447,Pascal Siakam,PF,29,TOR,39,39,1354,11.6,22.2,0.522,1.6,5.2,0.317,10,17.1,0.584,6,8,0.758,1.9,6.9,8.8,6.8,1.1,0.4,3,3.1,30.9,,119,119,siakapa01
447,Pascal Siakam,PF,29,IND,21,21,687,12.4,22.2,0.56,1.8,4.6,0.388,10.7,17.6,0.605,3.2,4.9,0.662,2.6,7.2,9.8,6.2,1.2,0.5,2.1,4,29.9,,124,120,siakapa01
448,Ben Simmons,PG,27,BRK,15,12,359,5.9,10.1,0.581,0,0,,5.9,10.1,0.581,0.8,2.1,0.4,4.2,12.1,16.3,11.8,1.6,1.2,3.7,4.9,12.6,,121,113,simmobe01
449,Anfernee Simons,SG,24,POR,36,36,1222,11.3,26.6,0.424,4.7,12.5,0.379,6.5,14,0.464,5.1,5.6,0.914,0.7,4.5,5.2,7.7,0.6,0.2,3.9,3.2,32.4,,112,121,simonan01
450,Jericho Sims,C,25,NYK,34,10,435,3.8,5.2,0.733,0,0,,3.8,5.2,0.733,1.5,2.3,0.65,4.7,7.6,12.3,2.3,0.5,1.7,1.3,3.7,9.1,,146,115,simsje01
451,Dmytro Skapintsev,C,25,NYK,2,0,2,0,25,0,0,0,,0,25,0,0,0,,0,0,0,0,0,0,0,0,0,,0,123,skapidm01
452,Jalen Slawson,SF,24,SAC,5,0,19,5.1,7.6,0.667,0,2.5,0,5.1,5.1,1,0,0,,0,10.1,10.1,5.1,0,2.5,5.1,7.6,10.1,,88,116,slawsja01
453,Javonte Smart,PG,24,PHI,1,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,,125,smartja01
454,Marcus Smart,PG,29,MEM,20,20,605,8.2,19.1,0.43,3.4,10.8,0.313,4.8,8.3,0.583,3.5,4.5,0.768,0.5,3.8,4.3,6.9,3.3,0.4,5,4.3,23.3,,99,113,smartma01
455,Dennis Smith Jr.,PG,26,BRK,44,1,867,6.9,16,0.428,1.3,4.7,0.277,5.6,11.3,0.49,2,2.7,0.745,2.5,5.7,8.2,9.9,2.8,0.6,3.1,5.6,17,,110,115,smithde03
456,Dru Smith,SG,26,MIA,9,0,131,5.7,12.5,0.455,2.7,6.4,0.412,3,6.1,0.5,0.8,0.8,1,2.3,3,5.3,5.3,3.4,1.1,1.9,4.5,14.8,,118,111,smithdr01
457,Ish Smith,PG,35,CHO,43,5,741,4.4,10.4,0.418,0.3,0.5,0.5,4.1,9.9,0.413,0.2,0.3,0.75,0.7,4.3,5,9.6,1.1,0.3,3.1,3.2,9.2,,97,123,smithis01
458,Jabari Smith Jr.,PF,20,HOU,55,55,1768,7.4,16.4,0.451,2.5,7.2,0.354,4.8,9.2,0.527,2.9,3.6,0.809,3.1,10.1,13.2,2.2,1.1,1.1,1.8,4,20.2,,114,112,smithja05
459,Jalen Smith,C,23,IND,43,13,760,10.7,17.5,0.613,2.8,6.4,0.442,7.9,11.1,0.711,3,4.1,0.716,4.4,10.4,14.8,2.7,0.7,1.7,2.2,5.7,27.3,,133,118,smithja04
460,Nick Smith Jr.,SG,19,CHO,37,0,573,7.5,18.6,0.406,4.4,9.7,0.451,3.2,8.9,0.356,0.9,1.1,0.846,1.4,3.3,4.6,3.8,0.6,0.6,2.7,3.8,20.4,,102,124,smithni01
461,Terquavion Smith,PG,21,PHI,12,0,69,11.3,28.3,0.4,8.5,21.9,0.387,2.8,6.4,0.444,1.4,2.1,0.667,0,1.4,1.4,7.1,4.9,0,2.8,2.8,32.5,,111,113,smithte01
462,Jeremy Sochan,PF,20,SAS,61,60,1798,7.2,16.2,0.444,1.5,4.5,0.335,5.7,11.8,0.485,2.3,2.9,0.768,2.9,6.9,9.9,5.5,1.2,0.7,3,3.7,18.2,,105,119,sochaje01
463,Pat Spencer,PG,27,GSW,1,0,2,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,,125,spencpa01
464,Jaden Springer,SG-PG,21,TOT,37,1,396,5.9,15.5,0.381,1,4.8,0.205,4.9,10.7,0.46,3.4,4.2,0.824,3.4,4.2,7.6,4.4,3.1,1.4,3.3,6.3,16.3,,99,113,sprinja01
464,Jaden Springer,SG,21,PHI,32,1,377,5.9,15.3,0.39,1,4.8,0.216,4.9,10.5,0.469,3.6,4.4,0.824,3.2,4.3,7.5,4.5,3.2,1.4,3.4,6.3,16.6,,100,113,sprinja01
464,Jaden Springer,PG,21,BOS,5,0,19,5.2,20.6,0.25,0,5.2,0,5.2,15.5,0.333,0,0,,7.7,2.6,10.3,2.6,0,0,2.6,5.2,10.3,,77,119,sprinja01
465,Lamar Stevens,PF,26,TOT,27,2,284,10.3,20.6,0.5,1.4,2.8,0.5,8.9,17.9,0.5,2.9,4.1,0.708,3.6,8.4,12,2.6,1.9,2.2,3.1,5.2,24.9,,106,110,stevela01
465,Lamar Stevens,PF,26,BOS,19,1,122,8.4,18.1,0.467,1.2,3.2,0.375,7.2,14.9,0.486,3.2,4.4,0.727,4.8,7.6,12.5,3.2,2.4,2,3.6,5.6,21.3,,107,108,stevela01
465,Lamar Stevens,PF,26,MEM,8,1,162,11.7,22.6,0.52,1.5,2.4,0.625,10.2,20.2,0.507,2.7,3.9,0.692,2.7,9,11.7,2.1,1.5,2.4,2.7,4.8,27.7,,106,111,stevela01
466,Isaiah Stewart,PF,22,DET,38,37,1164,6.4,13.6,0.473,2.3,6.1,0.381,4.1,7.5,0.546,2.3,3.1,0.733,2.7,8,10.7,2.7,0.5,1.3,2.4,3.7,17.4,,112,121,stewais01
467,Julian Strawther,SF,21,DEN,39,0,495,7.5,20,0.375,3.8,12.5,0.304,3.7,7.5,0.493,1.8,2.5,0.72,0.4,4.8,5.2,4.1,1.7,0.7,1.7,4.8,20.6,,102,115,strawju01
468,Max Strus,SF,27,CLE,60,60,1932,6.7,16.2,0.412,3.7,10.8,0.34,3,5.5,0.553,1.6,2,0.785,1.3,5.9,7.2,5.8,1.3,0.7,2.3,3.9,18.6,,111,113,strusma01
469,Jalen Suggs,SG,22,ORL,56,56,1491,8.2,17.8,0.459,3.8,9.6,0.392,4.4,8.2,0.538,2.6,3.4,0.76,1.3,4.7,5.9,4.7,2.6,1.1,3.6,5.3,22.7,,109,111,suggsja01
470,Cole Swider,SF,24,MIA,11,0,55,8.1,22.5,0.36,4.5,17.1,0.263,3.6,5.4,0.667,1.8,1.8,1,0.9,2.7,3.6,3.6,0.9,0.9,5.4,1.8,22.5,,84,117,swideco01
471,Jae'Sean Tate,SF,28,HOU,53,9,905,5,10.6,0.47,1.1,3.7,0.304,3.8,6.9,0.558,1.2,1.7,0.688,2.8,6.5,9.3,3,2,0.5,1.4,6.5,12.2,,115,112,tateja01
472,Jayson Tatum,PF,25,BOS,57,57,2036,12.6,26.4,0.478,4.2,11.5,0.369,8.4,14.9,0.562,7.7,9.3,0.829,1.1,10.4,11.6,6.6,1.4,0.8,3.4,2.8,37.1,,121,110,tatumja01
473,Terry Taylor,PF,24,CHI,23,0,161,5.3,10.5,0.5,0.6,2.8,0.222,4.6,7.7,0.6,0.6,0.9,0.667,4.6,5.6,10.2,2.2,1.2,0.6,2.2,5,11.8,,110,118,taylote01
474,Garrett Temple,SG,37,TOR,16,0,69,5.6,14.7,0.381,1.4,6.3,0.222,4.2,8.4,0.5,3.5,4.2,0.833,3.5,4.2,7.7,4.2,2.1,0,3.5,4.2,16.1,,99,119,templga01
475,Dalen Terry,SG,21,CHI,40,1,404,4.1,10.4,0.393,1.4,5.7,0.239,2.7,4.7,0.579,2.2,3.2,0.692,1.9,6.4,8.3,6.2,1.9,1,2.3,6.4,11.7,,108,115,terryda01
476,Daniel Theis,C,31,TOT,44,3,766,7.4,13.8,0.532,1.2,3.1,0.367,6.2,10.7,0.581,2,2.8,0.721,4.2,7,11.2,2.9,1.2,2.4,1.9,6.4,17.9,,122,114,theisda01
476,Daniel Theis,C,31,IND,1,0,8,5.9,23.5,0.25,0,5.9,0,5.9,17.6,0.333,0,0,,0,0,0,0,0,0,0,5.9,11.7,,55,128,theisda01
476,Daniel Theis,C,31,LAC,43,3,758,7.4,13.7,0.538,1.2,3.1,0.375,6.2,10.6,0.585,2,2.8,0.721,4.3,7.1,11.3,2.9,1.2,2.4,1.9,6.4,17.9,,123,114,theisda01
477,Cam Thomas,SG,22,BRK,48,33,1431,12.4,28.4,0.437,3.3,9.2,0.36,9.1,19.3,0.474,6.3,7.5,0.839,0.6,4.1,4.7,4.4,1.2,0.4,2.9,3.4,34.5,,108,120,thomaca02
478,Amen Thompson,SF,21,HOU,41,6,802,7.7,15.4,0.502,0.4,2.8,0.149,7.3,12.5,0.582,3.4,5.2,0.644,4.5,9.4,13.9,5.8,3,1.4,3.6,5.6,19.2,,110,107,thompam01
479,Ausar Thompson,SF,21,DET,60,35,1494,7.1,14.6,0.489,0.6,3.3,0.186,6.5,11.3,0.577,2.1,3.6,0.595,3.9,8.4,12.3,3.7,2.1,1.8,2.6,5.5,17,,107,116,thompau01
480,Klay Thompson,SF,33,GSW,57,51,1705,9.7,23,0.42,5.3,14,0.378,4.4,9,0.486,2.7,2.9,0.922,0.8,4.9,5.6,3.5,0.9,0.8,2.5,2.9,27.3,,110,119,thompkl01
481,Tristan Thompson,C,32,CLE,36,0,446,6.7,10.4,0.649,0,0.1,0,6.7,10.2,0.656,1.4,4.6,0.31,6.5,8.9,15.4,4.4,0.9,1.2,2.5,5.5,14.9,,123,111,thomptr01
482,JT Thor,PF,21,CHO,47,1,595,4.3,11.8,0.364,1.6,5.1,0.306,2.7,6.7,0.407,0.6,1.1,0.538,3.2,6.1,9.3,1.5,0.7,1.6,1,3.7,10.7,,99,121,thorjt01
483,Matisse Thybulle,SF,26,POR,57,19,1323,4,10.4,0.384,2.6,7.7,0.333,1.4,2.7,0.528,0.7,0.9,0.792,0.9,3.3,4.2,2.7,3.8,1.6,1.3,3.1,11.2,,108,113,thybuma01
484,Xavier Tillman Sr.,C-PF,25,TOT,37,13,736,6.2,14.6,0.421,0.9,3.6,0.236,5.3,11,0.482,1.3,3,0.444,3.7,7,10.7,3.9,2.8,2.5,1.9,4.2,14.5,,100,109,tillmxa01
484,Xavier Tillman Sr.,C,25,MEM,34,13,700,6.1,14.8,0.408,0.8,3.7,0.226,5.2,11.1,0.469,1.3,3,0.419,3.9,7,10.9,4,2.9,2.4,2,4.2,14.2,,98,109,tillmxa01
484,Xavier Tillman Sr.,PF,25,BOS,3,0,36,8.2,10.9,0.75,1.4,2.7,0.5,6.8,8.2,0.833,2.7,2.7,1,0,6.8,6.8,2.7,1.4,2.7,0,4.1,20.4,,175,110,tillmxa01
485,Jacob Toppin,SF,23,NYK,8,0,37,6.8,12.2,0.556,1.4,5.4,0.25,5.4,6.8,0.8,2.7,2.7,1,4.1,5.4,9.5,4.1,0,1.4,1.4,4.1,17.6,,141,118,toppija01
486,Obi Toppin,PF,25,IND,62,28,1368,8.6,15.4,0.56,2.7,6.7,0.398,6,8.7,0.685,2,2.7,0.747,2.3,5.9,8.2,3.3,1.1,1.1,1.8,3.8,22,,127,121,toppiob01
487,Juan Toscano-Anderson,SF,30,SAC,11,0,53,2.7,10.9,0.25,0.9,3.6,0.25,1.8,7.3,0.25,0,0,,3.6,9.1,12.7,3.6,0.9,0.9,1.8,10,6.4,,84,117,toscaju01
488,Karl-Anthony Towns,PF,28,MIN,59,59,1948,11.8,23.3,0.508,3.4,7.9,0.427,8.4,15.3,0.55,6.2,7.1,0.879,2.3,10.4,12.6,4.5,1.1,1,4.2,4.9,33.2,,116,108,townska01
489,Gary Trent Jr.,SG,25,TOR,56,26,1507,7.8,18.7,0.417,4.3,10.5,0.408,3.5,8.2,0.428,1.3,1.8,0.702,0.5,3.8,4.3,2.7,1.8,0.3,1.2,2.2,21.1,,109,120,trentga02
490,Oscar Tshiebwe,PF,24,IND,8,0,42,11.2,22.3,0.5,0,0,,11.2,22.3,0.5,6.7,8.9,0.75,8.9,8.9,17.9,2.2,2.2,1.1,0,3.4,29.1,,132,116,tshieos01
491,P.J. Tucker,PF,38,TOT,18,3,269,1.1,3.6,0.3,0.9,2.9,0.313,0.2,0.7,0.25,0.5,0.5,1,3.1,5.6,8.7,1.5,1.6,0.5,0.9,6.9,3.6,,119,116,tuckepj01
491,P.J. Tucker,PF,38,PHI,3,3,66,1.5,3.7,0.4,1.5,3.7,0.4,0,0,,0,0,,0.7,9.6,10.3,0,2.2,1.5,1.5,6.6,4.4,,88,112,tuckepj01
491,P.J. Tucker,PF,38,LAC,15,0,203,1,3.6,0.267,0.7,2.7,0.273,0.2,1,0.25,0.7,0.7,1,3.9,4.4,8.2,1.9,1.5,0.2,0.7,7,3.4,,127,118,tuckepj01
492,Myles Turner,C,27,IND,58,58,1585,10.7,20.4,0.523,2.3,7,0.335,8.3,13.4,0.621,5.8,7.4,0.788,2.8,9.4,12.3,2.2,1,3,2.6,5.4,29.5,,120,117,turnemy01
493,Hunter Tyson,PF,23,DEN,10,0,30,3.3,16.5,0.2,1.7,13.2,0.125,1.7,3.3,0.5,0,0,,1.7,11.6,13.2,1.7,0,0,3.3,9.9,8.3,,55,116,tysonhu01
494,Stanley Umude,SG,24,DET,17,0,190,6.3,13.1,0.481,4.3,7.8,0.548,2,5.3,0.381,5.5,6.1,0.917,1,6.8,7.8,2.3,1,1.3,2.8,7.1,22.4,,125,120,umudest01
495,Jonas Valančiūnas,C,31,NOP,61,61,1539,10.4,18.3,0.569,1,3,0.351,9.4,15.3,0.612,4.2,5.3,0.795,5.1,13.3,18.3,4.3,0.8,1.9,2.7,5.4,26,,127,110,valanjo01
496,Jarred Vanderbilt,PF,24,LAL,29,6,581,4.8,9.3,0.518,0.7,2.2,0.296,4.2,7.1,0.586,2,3,0.667,3.4,8,11.3,3,3,0.4,2.3,3.5,12.3,,113,113,vandeja01
497,Fred VanVleet,PG,29,HOU,53,53,1949,7.2,17.7,0.408,3.9,10.3,0.374,3.3,7.4,0.455,3.4,4,0.856,0.5,4.4,4.9,10.4,1.5,1.2,2.3,3.1,21.7,,121,114,vanvlfr01
498,Devin Vassell,SG,23,SAS,56,50,1798,10.5,22.5,0.468,3.7,9.8,0.374,6.9,12.7,0.541,3.6,4.5,0.791,0.7,5,5.7,5.7,1.6,0.5,2.2,1.5,28.3,,114,120,vassede01
499,Sasha Vezenkov,PF,28,SAC,35,0,440,8.1,18.1,0.448,4.2,10.9,0.38,3.9,7.1,0.554,1.1,1.4,0.769,3.3,6.1,9.4,1.6,1.8,0.8,1.2,3.8,21.4,,117,117,vezenal01
500,Gabe Vincent,PG,27,LAL,5,0,127,4.5,12,0.375,0.7,6.4,0.118,3.7,5.6,0.667,0.4,0.7,0.5,0.7,1.1,1.9,5.6,2.2,0,0.7,4.5,10.1,,100,119,vincega01
501,Nikola Vučević,C,33,CHI,55,53,1902,11.1,23.4,0.474,1.7,6.1,0.273,9.4,17.3,0.544,2,2.4,0.835,4.1,11.3,15.4,4.9,1,1.2,2.3,3.8,25.8,,112,114,vucevni01
502,Dean Wade,PF,27,CLE,51,30,1024,4.1,10.1,0.403,3.5,8.9,0.389,0.6,1.2,0.5,0.8,1,0.81,1.6,8.1,9.7,1.9,1.8,1.2,1,4.3,12.4,,119,110,wadede01
503,Franz Wagner,SF,22,ORL,53,53,1752,11.4,23.6,0.482,2.2,7.3,0.307,9.1,16.2,0.561,5.6,6.5,0.85,1.5,6.8,8.3,6,1.5,0.6,3.1,3.5,30.5,,116,113,wagnefr01
504,Moritz Wagner,C,26,ORL,59,1,1087,11.4,19.2,0.592,1.2,3.8,0.318,10.1,15.4,0.661,6.1,7.6,0.804,4.3,8,12.3,3.2,1.4,0.8,3.2,5.7,30.1,,127,112,wagnemo01
505,Ish Wainright,SF,29,POR,7,0,46,6.4,19.2,0.333,6.4,17.1,0.375,0,2.1,0,2.1,2.1,1,0,9.6,9.6,0,2.1,1.1,1.1,4.3,21.4,,105,114,wainris01
506,Jabari Walker,SF,21,POR,55,14,1213,7,14.8,0.473,1.1,4.2,0.272,5.9,10.7,0.551,3.9,5,0.766,4.6,9.8,14.4,1.9,1.4,0.9,2.1,4.9,19,,115,116,walkeja01
507,Jarace Walker,PF,20,IND,20,0,207,6.8,17.2,0.395,3.2,8.4,0.378,3.6,8.8,0.41,1.4,1.6,0.857,1.8,6.8,8.6,6.1,2.7,2,2.7,4.3,18.1,,106,115,walkeja02
508,Lonnie Walker IV,SG,25,BRK,40,0,716,10.8,24.4,0.445,5.6,13.4,0.421,5.2,11,0.475,2.6,3.4,0.776,0.6,5.2,5.8,3.9,1.9,0.7,2.7,3.6,29.9,,110,117,walkelo01
509,Cason Wallace,SG,20,OKC,60,9,1227,6.1,12,0.507,2.7,6.6,0.417,3.3,5.4,0.616,0.9,1.1,0.793,1.4,3.8,5.3,3.2,1.8,1,1,3.8,15.8,,127,115,wallaca01
510,Jordan Walsh,SF,19,BOS,4,0,33,1.5,7.4,0.2,0,4.5,0,1.5,3,0.5,0,0,,3,13.4,16.3,3,3,1.5,3,7.4,3,,66,103,walshjo01
511,P.J. Washington,PF,25,TOT,53,25,1573,8.3,18.7,0.444,2.9,9.1,0.316,5.4,9.6,0.565,2.4,3.4,0.706,2,6.7,8.7,3.4,1.4,1.2,2.5,4.1,21.8,,106,119,washipj01
511,P.J. Washington,PF,25,CHO,44,17,1286,8.7,19.4,0.446,3,9.3,0.324,5.6,10.1,0.558,2.6,3.6,0.713,2,6.8,8.8,3.7,1.4,1.2,2.5,4.3,22.9,,106,119,washipj01
511,P.J. Washington,PF,25,DAL,9,8,287,6.7,15.5,0.43,2.3,8.3,0.28,4.3,7.2,0.605,1.7,2.5,0.667,1.7,6.2,7.8,2,1.3,1.2,2.3,3.3,17.3,,100,118,washipj01
512,TyTy Washington Jr.,PG,22,MIL,5,0,21,2.3,15.9,0.143,2.3,6.8,0.333,0,9.1,0,0,0,,0,2.3,2.3,2.3,4.5,0,4.5,0,6.8,,42,113,washity02
513,Yuta Watanabe,SF,29,TOT,34,0,464,4.3,12.1,0.353,2.6,8.9,0.294,1.7,3.2,0.516,1,1.8,0.588,1.2,4.5,5.7,1.6,1.3,0.7,2,4.1,12.2,,92,118,watanyu01
513,Yuta Watanabe,SF,29,PHO,29,0,382,4.4,12.3,0.361,3,9.5,0.32,1.4,2.8,0.5,1.3,1.9,0.667,1.4,4.3,5.7,1.3,1.1,0.9,2,4.3,13.2,,97,118,watanyu01
513,Yuta Watanabe,SF,29,MEM,5,0,82,3.6,11.3,0.316,0.6,5.9,0.1,3,5.3,0.556,0,1.2,0,0,5.3,5.3,3,1.8,0,1.8,3,7.7,,69,116,watanyu01
514,Lindy Waters III,SG,26,OKC,25,0,171,6.5,14.6,0.442,5.9,13.5,0.438,0.6,1.1,0.5,0,0,,0.3,6.2,6.5,3.7,0.3,1.1,1.4,4.8,18.8,,122,116,waterli01
515,Trendon Watford,PF,23,BRK,43,0,499,9.7,17.8,0.541,1.4,3.7,0.368,8.3,14.1,0.587,4.1,4.6,0.894,3.4,7.5,10.9,5.4,1.5,1,3.1,6.8,24.8,,122,116,watfotr01
516,Peyton Watson,SF,21,DEN,59,4,1071,7,15,0.471,1.9,5.5,0.336,5.2,9.4,0.549,2.5,3.7,0.679,1.8,6,7.8,2.7,1.5,2.6,2.1,4.7,18.5,,109,113,watsope01
517,Victor Wembanyama,C,20,SAS,55,55,1579,12.5,26.7,0.47,2.8,8.3,0.333,9.8,18.4,0.532,6.6,8.1,0.815,3.6,13.3,16.9,5.7,2.2,5.6,5.6,3.6,34.4,,105,107,wembavi01
518,Blake Wesley,SG,20,SAS,40,1,524,5.7,11.3,0.504,0.4,2.6,0.138,5.3,8.7,0.615,2.7,4.3,0.625,1,3.3,4.3,9.1,1.8,0.4,2.9,5.3,14.4,,112,120,weslebl01
519,Russell Westbrook,PG,35,LAC,58,10,1313,9.6,21.3,0.452,1.4,5.2,0.268,8.2,16.1,0.51,3.4,5,0.677,3,8,11,9.6,2.4,0.8,4.4,3.9,24,,107,113,westbru01
520,Coby White,PG,23,CHI,60,60,2198,9.3,20.7,0.449,3.8,9.9,0.383,5.5,10.8,0.508,3.9,4.7,0.835,0.8,5.7,6.5,7.2,1,0.3,3,3.2,26.3,,115,119,whiteco01
521,Derrick White,SG,29,BOS,56,56,1793,8.3,17.5,0.471,4.1,10.1,0.407,4.1,7.4,0.559,3.1,3.4,0.897,1,5.1,6,7.5,1.6,1.8,2.4,3.1,23.7,,127,112,whitede01
522,Cam Whitmore,SF,19,HOU,34,1,590,12,25.8,0.463,4.4,12.1,0.365,7.5,13.7,0.551,4.5,6.7,0.671,2,8.2,10.2,1.3,1.7,0.8,2.8,3.8,32.9,,108,112,whitmca01
523,Aaron Wiggins,SG,25,OKC,57,0,825,8,13.9,0.573,2.6,5.1,0.5,5.4,8.8,0.616,2,2.6,0.773,2.4,5.4,7.8,2.9,1.9,0.5,2,3.8,20.5,,127,114,wiggiaa01
524,Andrew Wiggins,SF,28,GSW,51,40,1388,8.6,19,0.455,2,5.8,0.351,6.6,13.1,0.501,3.2,4.4,0.727,2.7,4.8,7.6,3.1,1,0.9,2.2,3.9,22.5,,111,118,wiggian01
525,Lindell Wigginton,PG,25,MIL,3,0,8,11.9,29.8,0.4,0,11.9,0,11.9,17.9,0.667,11.9,11.9,1,0,0,0,0,0,0,6,6,35.7,,89,124,wiggili01
526,Alondes Williams,SG,24,MIA,2,0,9,0,16.5,0,0,11,0,0,5.5,0,0,0,,0,5.5,5.5,0,0,0,5.5,0,0,,0,119,willial06
527,Brandon Williams,PG,24,DAL,12,0,59,6.5,17.8,0.364,1.6,4.9,0.333,4.9,13,0.375,4.9,8.9,0.545,2.4,3.2,5.7,9.7,0.8,0.8,2.4,1.6,19.5,,107,121,willibr03
528,Grant Williams,PF,25,TOT,57,34,1535,5.6,13,0.434,3,8.1,0.375,2.6,4.9,0.532,2.1,2.8,0.761,2,5.1,7.1,3.2,0.9,1,2.3,5.2,16.4,,112,120,willigr01
528,Grant Williams,PF,25,DAL,47,33,1242,5,12.2,0.413,3,8.1,0.376,2,4.1,0.486,1.6,2.1,0.745,1.8,4.7,6.5,3.1,0.9,1,2,5.3,14.7,,110,120,willigr01
528,Grant Williams,PF,25,CHO,10,1,293,8.2,16.4,0.5,3,8.2,0.367,5.2,8.2,0.633,4.3,5.5,0.788,2.8,6.9,9.7,3.7,0.8,0.8,3.2,4.7,23.8,,117,121,willigr01
529,Jalen Williams,PF,22,OKC,54,54,1731,11.4,21,0.544,2.2,5,0.445,9.2,16,0.575,3.9,4.8,0.808,0.8,5.3,6.1,6.9,1.6,0.8,2.6,4,29,,123,115,willija06
530,Jaylin Williams,C,21,OKC,50,0,628,5,12.6,0.394,2.9,8,0.362,2.1,4.6,0.45,1.8,2.1,0.821,2.1,10.2,12.3,5.1,1.5,1.4,1.5,5.4,14.6,,117,110,willija07
531,Jeenathan Williams,SG,24,HOU,11,0,76,8.9,19.1,0.467,0.6,1.9,0.333,8.3,17.2,0.481,2.5,4.5,0.571,5.1,1.3,6.4,3.8,1.3,0,1.3,5.7,21,,113,118,willije02
532,Kenrich Williams,PF,29,OKC,49,1,708,5.6,12.3,0.459,2.6,6.6,0.398,3,5.6,0.53,0.2,0.7,0.3,2.4,6.9,9.3,4.1,1.7,0.4,1.2,4.5,14.1,,120,113,willike04
533,Mark Williams,C,22,CHO,19,19,508,9.5,14.6,0.649,0,0,,9.5,14.6,0.649,4.4,6.2,0.719,7.3,10.4,17.8,2.1,1.5,1.9,1.6,4.8,23.3,,138,116,willima07
534,Patrick Williams,PF,22,CHI,43,30,1174,6.8,15.2,0.443,2.5,6.3,0.399,4.2,9,0.474,2.2,2.8,0.788,2,5.1,7,2.8,1.7,1.4,2.4,3.7,18.2,,107,116,willipa01
535,Robert Williams,C,26,POR,6,0,119,7,10.7,0.654,0,0,,7,10.7,0.654,2.9,3.7,0.778,4.5,11.2,15.7,2.1,2.9,2.9,2.9,7,16.9,,123,109,williro04
536,Vince Williams Jr.,SG,23,MEM,49,30,1329,5.7,12.9,0.442,2.7,7.2,0.371,3,5.6,0.532,3.5,4.4,0.793,2.1,7.9,10,5.6,1.6,1.2,3,4.6,17.6,,114,113,willivi01
537,Ziaire Williams,SF,22,MEM,51,15,1038,7,17.7,0.397,2.7,8.9,0.307,4.3,8.9,0.487,2.9,3.5,0.827,1.6,6.8,8.5,3.5,1.7,0.4,3.1,4,19.7,,98,115,willizi02
538,Zion Williamson,PF,23,NOP,50,50,1530,13.9,24.2,0.575,0.2,0.4,0.385,13.7,23.8,0.578,7.3,10.6,0.685,2.8,5.9,8.7,8.1,1.4,0.8,4.1,3.7,35.2,,120,115,willizi01
539,Jalen Wilson,PF,23,BRK,22,1,310,5.9,12.7,0.463,2.2,5.1,0.438,3.6,7.6,0.479,3,3.3,0.905,3.5,5.1,8.6,4,1,0.2,0.8,4,17,,134,120,wilsoja03
540,Dylan Windler,SF,27,TOT,11,0,35,6.9,15.1,0.455,6.9,13.7,0.5,0,1.4,0,0,0,,0,5.5,5.5,9.6,0,0,0,4.1,20.6,,153,121,windldy01
540,Dylan Windler,SF,27,NYK,3,0,7,7.1,14.3,0.5,7.1,14.3,0.5,0,0,,0,0,,0,7.1,7.1,7.1,0,0,0,7.1,21.4,,168,119,windldy01
