Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
92,Max Christie,SG,20,LAL,48,796,8.2,0.545,0.492,0.213,1.8,14.2,8.3,8,1,1.7,12.6,13.4,,-0.1,0.7,0.5,0.032,,-3.5,-0.4,-4,-0.4,chrisma02
93,Sidy Cissoko,SF,19,SAS,6,32,5.4,0.387,0.667,0.667,0,20.6,10.2,0,4.4,0,11.4,11.5,,-0.1,0,0,-0.014,,-9.3,0.4,-8.9,-0.1,cissosi01
94,Jordan Clarkson,SG,31,UTA,50,1517,12.3,0.519,0.385,0.251,3.3,8.9,6.1,24.4,0.9,0.3,14.2,25.8,,0.1,0.2,0.3,0.01,,-1.4,-3.1,-4.5,-1,clarkjo01
95,Nic Claxton,C,24,BRK,50,1467,18.9,0.624,0.01,0.296,9.9,27.3,18.3,9.9,1.1,6.6,11.1,15.6,,2.5,2.3,4.7,0.155,,-0.2,1.6,1.4,1.3,claxtni01
96,Noah Clowney,PF,19,BRK,7,69,16,0.703,0.222,0.333,9.1,11.4,10.2,12.4,0,1.3,12.7,14.7,,0.2,0,0.2,0.152,,0.1,-2.1,-1.9,0,clownno01
97,Amir Coffey,SF,26,LAC,47,881,11.1,0.667,0.482,0.251,2.4,8,5.3,6.3,1.5,0.7,8.1,11.7,,1.4,0.7,2.1,0.114,,-1.3,0.1,-1.1,0.2,coffeam01
98,John Collins,PF,26,UTA,57,1596,16.2,0.605,0.318,0.219,9.1,23.7,16.5,6.4,1,2.6,10.9,19.7,,2,1.3,3.3,0.1,,-0.3,-1.3,-1.6,0.2,collijo01
99,Zach Collins,C,26,SAS,49,1139,13.4,0.56,0.32,0.253,7.9,16.9,12.3,19.2,1,2.5,16.5,21.9,,0.1,0.8,0.9,0.039,,-2.3,-0.6,-2.9,-0.3,colliza01
100,Mike Conley,PG,36,MIN,56,1615,15.1,0.617,0.646,0.165,1.7,9.3,5.8,29.6,1.7,0.7,12,14.7,,3.7,2.5,6.2,0.184,,1.7,1.5,3.3,2.1,conlemi01
101,Pat Connaughton,SF,31,MIL,55,1183,9.7,0.597,0.701,0.137,3.3,12.9,8.3,10.9,1.3,1,12.4,10.2,,1.1,1,2.1,0.087,,-1.4,0.3,-1,0.3,connapa01
102,Bilal Coulibaly,SF,19,WAS,56,1494,8.7,0.546,0.413,0.295,3.4,12.9,8,8.2,1.5,2.3,16,14,,-0.6,0.7,0.2,0.005,,-3.8,-0.5,-4.3,-0.9,coulibi01
103,Ricky Council IV,SG,22,PHI,19,180,19.8,0.596,0.224,0.711,7.3,16.2,11.7,5.8,0.5,0,2.9,24.4,,0.5,0.1,0.6,0.172,,2.4,-2.2,0.3,0.1,councri01
104,Robert Covington,SF-PF,33,TOT,29,488,13.5,0.58,0.571,0.265,7,15.1,11,6.2,3.9,3.3,9.1,10.6,,0.6,0.8,1.4,0.14,,-1,3.1,2.1,0.5,covinro01
104,Robert Covington,PF,33,LAC,3,69,10.5,0.455,0.889,0.222,3.4,9.5,6.6,12,4.3,2.6,0,6.2,,0.1,0.1,0.2,0.128,,-2.4,4.4,2,0.1,covinro01
104,Robert Covington,SF,33,PHI,26,419,13.9,0.593,0.539,0.27,7.6,16,11.7,5.2,3.8,3.4,9.9,11.3,,0.5,0.7,1.2,0.142,,-0.8,2.9,2.1,0.4,covinro01
105,Torrey Craig,SF,33,CHI,33,694,11.4,0.559,0.593,0.162,8.6,16.7,12.5,6.9,1.4,2.2,9.6,12.5,,0.7,0.7,1.4,0.1,,-1.7,0,-1.7,0.1,craigto01
106,Jae Crowder,PF,33,MIL,30,747,8.7,0.559,0.648,0.148,2.1,13.5,8,7.6,1.7,0.7,8.5,10.8,,0.4,0.7,1.1,0.071,,-2.5,0.5,-2,0,crowdja01
107,Jalen Crutcher,PG,24,NOP,1,3,-12.5,0,0,0,0,0,0,0,0,0,0,14.3,,0,0,0,-0.326,,-18.4,-7.7,-26,0,crutcja01
108,Cade Cunningham,PG,22,DET,50,1689,16.3,0.55,0.289,0.239,1.4,12.5,6.8,35.2,1.3,0.9,14.6,29.6,,0.6,0.7,1.2,0.035,,1.4,-1.8,-0.4,0.7,cunnica01
109,Seth Curry,SG,33,TOT,44,616,9.8,0.519,0.529,0.152,3.2,9.1,6.1,9.6,1.7,0.9,8.8,16.6,,0.1,0.4,0.4,0.034,,-2.5,-0.7,-3.2,-0.2,curryse01
109,Seth Curry,SG,33,DAL,36,457,8.6,0.502,0.552,0.131,3.6,8.9,6.2,8.4,1.8,0.6,9.4,15.8,,-0.1,0.3,0.2,0.025,,-3,-1,-4,-0.2,curryse01
109,Seth Curry,SG,33,CHO,8,159,13.5,0.56,0.475,0.203,2,9.5,5.6,13,1.5,1.7,7.2,19,,0.1,0.1,0.2,0.059,,-1.2,0.1,-1.1,0,curryse01
110,Stephen Curry,PG,35,GSW,57,1877,20.6,0.62,0.613,0.239,1.6,12.4,7,24.3,1.2,1,12.1,31.6,,3.9,1.4,5.3,0.137,,6.2,-1.2,5.1,3.3,curryst01
111,Dyson Daniels,PG,20,NOP,52,1139,11.4,0.518,0.43,0.195,5,13.5,9.3,15,3.1,1.8,15.8,12.5,,0.4,1.8,2.2,0.093,,-2.2,2.6,0.3,0.7,daniedy01
112,Anthony Davis,C,30,LAL,58,2078,25.7,0.621,0.073,0.398,9.9,27.5,19.1,15.8,1.5,5.9,9.1,26.7,,5.4,3.5,8.9,0.205,,3.4,1.6,5,3.7,davisan02
113,Johnny Davis,SG,21,WAS,29,283,3.7,0.365,0.16,0.111,4.4,10.1,7.2,4.8,1.6,0.6,7.6,13.6,,-0.5,0.1,-0.4,-0.074,,-7.6,-2.2,-9.8,-0.6,davisjo06
114,JD Davison,SG,21,BOS,2,6,15.3,0.532,1,2,18.8,16.8,17.8,0,0,0,0,13.6,,0,0,0,0.207,,-0.6,-1.5,-2.1,0,davisjd01
115,Dexter Dennis,SG,24,DAL,4,30,18.2,0.541,0.421,0.158,3.6,29.3,16.4,23.6,0,2.9,12.9,33.2,,0,0,0,-0.004,,1.9,-0.3,1.6,0,dennide01
116,DeMar DeRozan,SF,34,CHI,58,2193,18.7,0.572,0.167,0.438,1.8,10.8,6.2,21.7,1.4,1.7,6.8,24.7,,4.8,1.8,6.6,0.144,,1.6,-0.1,1.4,1.9,derozde01
117,Moussa Diabaté,C,22,LAC,11,64,24.5,0.576,0,0.737,27.4,15.4,21.2,8.5,3.8,1.4,7.4,18.5,,0.2,0.1,0.3,0.252,,3.8,-0.5,3.3,0.1,diabamo01
118,Mamadi Diakite,PF,27,SAS,3,16,30.3,0.785,0,1.2,6.7,13.8,10.2,20,0,5.3,0,20,,0.1,0,0.1,0.338,,7.8,3.6,11.4,0.1,diakima01
119,Hamidou Diallo,SG,25,WAS,2,5,32.9,0.5,0,0,41.4,0,21.3,28.5,18.6,0,33.3,25.1,,0,0,0,0.196,,2.5,15.9,18.5,0,diallha01
120,Gradey Dick,SG,20,TOR,40,650,10.6,0.583,0.588,0.118,3,10,6.4,9.3,1.6,0,9.4,16.1,,0.5,0.3,0.8,0.059,,-2.2,-1,-3.3,-0.2,dickgr01
121,Ousmane Dieng,PF,20,OKC,29,326,10.1,0.555,0.634,0.158,3.6,12.7,8.4,11.9,0.7,0.8,12.9,16.5,,0.1,0.3,0.4,0.063,,-1.7,-1.2,-2.9,-0.1,diengou01
122,Spencer Dinwiddie,PG,30,TOT,56,1664,12.4,0.526,0.562,0.304,1.7,9.2,5.4,25.9,1.2,0.5,10.3,17.7,,1.8,1,2.8,0.081,,-1,-0.8,-1.8,0.1,dinwisp01
122,Spencer Dinwiddie,PG,30,BRK,48,1474,13.3,0.53,0.557,0.321,1.9,10,5.8,26.9,1.3,0.5,9.8,18.4,,1.9,0.9,2.8,0.091,,-0.4,-0.7,-1.2,0.3,dinwisp01
122,Spencer Dinwiddie,PG,30,LAL,8,190,5.7,0.476,0.614,0.114,0.6,2.8,1.8,18.7,1,0.5,16.3,12.6,,-0.1,0.1,0,-0.001,,-5,-1.6,-6.6,-0.2,dinwisp01
123,Donte DiVincenzo,SG,27,NYK,60,1558,16.7,0.604,0.694,0.11,3.5,11.1,7.3,14.3,2.3,1.4,9.5,21.4,,2.7,1.9,4.6,0.142,,2.9,1,3.8,2.3,divindo01
124,Luka Dončić,PG,24,DAL,53,1985,28.9,0.623,0.431,0.388,2.3,23.9,13,44.4,1.9,1.4,12.4,36,,7,2.3,9.3,0.226,,8.6,1.5,10.1,6.1,doncilu01
125,Luguentz Dort,SF,24,OKC,58,1652,11,0.588,0.591,0.218,4.3,10.2,7.4,5.7,1.5,2.3,8.8,15.2,,1.4,1.9,3.3,0.096,,-1.5,-0.2,-1.7,0.1,dortlu01
126,Ayo Dosunmu,SG,24,CHI,58,1553,12.7,0.6,0.429,0.143,2.8,8.7,5.7,14.2,1.6,1.7,12,16.5,,1.5,1.3,2.8,0.087,,-1,0,-1,0.4,dosunay01
127,Andre Drummond,C,30,CHI,60,1039,23.1,0.57,0.008,0.414,21.7,36.4,28.9,4.4,2.9,4.1,13.1,21.6,,1.5,2.2,3.7,0.17,,0.6,-0.3,0.3,0.6,drumman01
128,Chris Duarte,SF,26,SAC,42,557,7.6,0.503,0.572,0.178,3.6,12.5,7.9,7.8,2,0.8,10.9,14.1,,-0.1,0.5,0.4,0.034,,-4.2,0.2,-4,-0.3,duartch01
129,Kris Dunn,PG,29,UTA,53,957,13.4,0.557,0.355,0.102,4.4,12.5,8.5,29,2.8,2,20.7,14,,0.9,0.9,1.8,0.088,,-1.2,1.7,0.5,0.6,dunnkr01
130,Kevin Durant,PF,35,PHO,54,2007,22.3,0.635,0.27,0.337,1.8,17.5,10.1,24.5,1.2,3.1,13.2,29.2,,4.3,2.3,6.6,0.158,,4.7,0.2,4.9,3.5,duranke01
131,Jalen Duren,C,20,DET,45,1353,18.5,0.648,0.007,0.274,11.9,32.5,22,12.8,0.7,2.5,15.6,17.9,,2.4,1.2,3.6,0.127,,0,0,0,0.7,durenja01
132,Tari Eason,PF,22,HOU,22,480,17.1,0.528,0.265,0.175,10.2,23.8,17,8.4,3.1,3.6,8.9,19.8,,0.2,1,1.3,0.126,,-0.7,2.1,1.4,0.4,easonta01
133,Anthony Edwards,SG,22,MIN,58,2022,19.9,0.586,0.344,0.335,1.9,14.3,8.5,24.7,1.8,1.3,12.4,32.4,,2.3,3.6,5.9,0.139,,3,0.7,3.8,3,edwaran01
134,Kessler Edwards,SF,23,SAC,39,189,9,0.521,0.623,0.113,2.9,15.4,9,6,1,1.9,1.8,12.8,,0.1,0.1,0.3,0.066,,-2.2,-0.7,-2.9,0,edwarke02
135,Keon Ellis,SG,24,SAC,35,405,10.2,0.572,0.798,0.181,3.5,9.2,6.3,14,2.1,3.1,15.1,12.6,,0.3,0.4,0.7,0.082,,-1.7,1.4,-0.4,0.2,elliske01
136,Joel Embiid,C,29,PHI,34,1157,34.4,0.645,0.149,0.534,8.4,28.5,18.3,31.6,1.6,4.7,11.9,39,,4.8,1.9,6.7,0.279,,8.9,3,11.9,4.1,embiijo01
137,Drew Eubanks,C,26,PHO,55,867,14.6,0.66,0.015,0.392,9.7,19.7,15,7.8,1.2,4.6,18.6,13.9,,1.1,1.2,2.2,0.123,,-2,0.7,-1.3,0.2,eubandr01
138,Tosan Evbuomwan,SF,22,TOT,6,90,8.1,0.472,0.5,0,9.5,10.2,9.8,9,0.5,1,5.3,9.1,,0,0.1,0.1,0.049,,-3.1,-1.4,-4.5,-0.1,evbuoto01
138,Tosan Evbuomwan,SF,22,MEM,4,74,5.7,0.333,0.533,0,11.5,9.2,10.4,10.9,0,1.3,6.3,9.3,,0,0,0,0.019,,-4.2,-2.3,-6.6,-0.1,evbuoto01
138,Tosan Evbuomwan,SF,22,DET,2,16,19.4,1.167,0.333,0,0,14.3,7,0,3,0,0,7.9,,0.1,0,0.1,0.189,,2.1,2.9,5,0,evbuoto01
139,Dante Exum,PG,28,DAL,35,671,16.1,0.655,0.319,0.238,2.9,12.5,7.7,20,1.3,0.7,10.8,16.5,,1.6,0.4,2,0.144,,0.8,-0.5,0.3,0.4,exumda01
140,Bruno Fernando,C,25,ATL,23,246,17,0.593,0.039,0.526,11,20.4,15.5,7.9,1.5,4.6,10.5,17.5,,0.4,0.2,0.6,0.121,,-1.7,0.3,-1.4,0,fernabr01
141,Dorian Finney-Smith,PF,30,BRK,51,1418,10.1,0.548,0.663,0.072,6.2,12.3,9.1,7.2,1.3,1.9,9.7,13.5,,0.8,1.1,1.9,0.063,,-1.8,-0.2,-2,0,finnedo01
142,Adam Flagler,SG,24,OKC,1,6,-13.6,0,1,0,0,0,0,17.9,0,0,0,21.7,,-0.1,0,-0.1,-0.451,,-18,-9,-27,0,flaglad01
143,Malachi Flynn,PG,25,TOT,52,601,9.8,0.519,0.552,0.193,2.3,12.5,7.3,19.3,1.8,0.9,16.4,17.7,,-0.1,0.4,0.3,0.023,,-3.2,-0.1,-3.4,-0.2,flynnma01
143,Malachi Flynn,PG,25,TOR,31,474,10,0.535,0.584,0.161,2.9,12.3,7.5,19.9,1.8,1.1,18.4,16.2,,0,0.4,0.3,0.033,,-2.9,0.2,-2.7,-0.1,flynnma01
143,Malachi Flynn,PG,25,NYK,14,60,12.4,0.557,0.565,0.478,0,11.2,5.6,14.1,0.8,0,9.7,22,,0.1,0,0.1,0.09,,-1.8,-0.9,-2.7,0,flynnma01
143,Malachi Flynn,PG,25,DET,7,67,6.1,0.415,0.406,0.125,0,15.4,7.5,19.1,2.1,0,12.9,24.5,,-0.2,0,-0.1,-0.107,,-7.3,-1.7,-8.9,-0.1,flynnma01
144,Simone Fontecchio,SF,28,TOT,59,1415,11.5,0.591,0.619,0.11,4.5,11.5,8,8.9,1.3,1.1,10.9,16,,1.2,0.6,1.7,0.059,,-0.3,-1,-1.3,0.2,fontesi01
144,Simone Fontecchio,SF,28,UTA,50,1160,11,0.592,0.651,0.112,4.9,11.6,8.3,8.5,1.2,1.4,12,15.3,,0.9,0.5,1.4,0.057,,-0.5,-1.1,-1.6,0.1,fontesi01
144,Simone Fontecchio,SF,28,DET,9,255,13.6,0.588,0.51,0.106,2.6,10.8,6.6,10.4,1.7,0,6.8,19.4,,0.3,0.1,0.3,0.066,,0.4,-0.4,0,0.1,fontesi01
145,Jordan Ford,PG,25,SAC,6,22,16.6,0.761,0.429,0.286,0,10.6,5.1,12.5,0,0,11.3,17.2,,0.1,0,0.1,0.148,,3.2,-1.4,1.9,0,fordjo01
146,Trent Forrest,SG,25,ATL,22,217,6.8,0.382,0.146,0.208,2.4,10.8,6.4,24.5,1.5,0.4,17.4,12,,-0.1,0.1,0,-0.007,,-5,-0.4,-5.4,-0.2,forretr01
147,Evan Fournier,SG,31,TOT,11,191,11.3,0.53,0.635,0.189,1.7,11.3,6.4,9.5,3.1,0.9,10.1,19.8,,0,0.2,0.1,0.035,,-2.7,0.7,-2,0,fournev01
147,Evan Fournier,SG,31,NYK,3,39,2.2,0.287,0.75,0.1,0,11.5,5.7,10.2,5.1,0,4.6,24,,-0.2,0.1,-0.1,-0.109,,-12,0.3,-11.7,-0.1,fournev01
147,Evan Fournier,SG,31,DET,8,152,13.6,0.616,0.593,0.222,2.2,11.3,6.6,9.4,2.5,1.1,11.9,18.7,,0.1,0.1,0.2,0.072,,-0.3,0.8,0.5,0.1,fournev01
148,De'Aaron Fox,PG,26,SAC,51,1818,20.1,0.571,0.369,0.309,2.9,10.7,6.7,24.8,2.6,1,10.2,31.4,,2.3,1.8,4.1,0.108,,2.4,-0.6,1.9,1.8,foxde01
149,Javon Freeman-Liberty,PG,24,TOR,3,5,6.4,0.333,0,0,21.5,0,11,0,0,0,0,25.6,,0,0,0,-0.121,,-8.3,-7.9,-16.2,0,freemja01
150,Alex Fudge,SF,20,LAL,4,14,-1.9,0.291,0.333,0.333,16.6,0,8,0,0,0,12.7,24.3,,-0.1,0,-0.1,-0.228,,-10,-8.2,-18.2,-0.1,fudgeal01
151,Markelle Fultz,PG,25,ORL,25,575,13.9,0.512,0.045,0.126,7,10.6,8.8,21.5,2.6,1.4,12.9,18.1,,0.2,0.9,1.1,0.09,,-1.6,2,0.4,0.4,fultzma01
152,Daniel Gafford,C-PF,25,TOT,54,1343,20,0.701,0,0.394,12,21.9,16.8,7.7,1.7,6.5,12,14.3,,3.3,1.5,4.9,0.174,,-0.3,1.1,0.7,0.9,gaffoda01
152,Daniel Gafford,C,25,WAS,45,1192,19.7,0.707,0,0.405,11.4,21.2,16.1,7.9,1.7,6.6,11.7,13.8,,3,1.3,4.3,0.172,,-0.4,1.1,0.8,0.8,gaffoda01
152,Daniel Gafford,PF,25,DAL,9,151,21.9,0.66,0,0.327,16.6,27.7,22.1,5.7,1.6,6.4,13.8,18.4,,0.4,0.2,0.6,0.193,,-0.2,0.8,0.6,0.1,gaffoda01
153,Danilo Gallinari,PF-SF,35,TOT,37,522,14.1,0.602,0.485,0.509,3.4,16.5,9.8,11.9,0.8,0.8,6.9,17.4,,0.9,0.2,1.1,0.103,,-0.4,-1.3,-1.7,0,gallida01
153,Danilo Gallinari,PF,35,WAS,26,385,13.3,0.581,0.489,0.427,3.2,18.3,10.5,10.7,0.7,0.6,7.2,18.2,,0.5,0.1,0.6,0.075,,-0.9,-1.8,-2.7,-0.1,gallida01
153,Danilo Gallinari,SF,35,DET,6,90,23.1,0.799,0.545,1.091,2.4,15.3,8.7,18.2,1.1,1.9,3,15.8,,0.5,0,0.6,0.296,,6,1,7,0.2,gallida01
153,Danilo Gallinari,SF,35,MIL,5,47,3.2,0.363,0.333,0.333,7.2,4.5,5.8,10.1,1,0,12.7,14.3,,-0.1,0,0,-0.036,,-8.2,-1.7,-9.8,-0.1,gallida01
154,Darius Garland,PG,24,CLE,36,1183,15,0.575,0.393,0.247,1.6,6.4,4.1,27.4,2,0.3,16.5,25.4,,0.6,1.5,2.1,0.083,,0.3,-0.9,-0.5,0.4,garlada01
155,Usman Garuba,PF,21,GSW,3,8,6.1,0,0,0,13.5,0,6.7,14,6,0,0,5.2,,0,0,0,0.069,,-6.5,3.5,-3,0,garubus01
156,Luka Garza,C,25,MIN,14,40,17.9,0.545,0.36,0.48,18.2,13.3,15.6,8.7,0,0,6.2,35.6,,0.1,0.1,0.1,0.135,,-2.3,-3.9,-6.2,0,garzalu01
157,Kaiser Gates,SF,27,NOP,1,7,-19.7,0,0.5,0,0,15.7,7.9,0,0,0,0,24.6,,-0.1,0,-0.1,-0.544,,-18.5,-10.1,-28.6,-0.1,gateska01
158,Keyonte George,PG,20,UTA,55,1415,11.2,0.54,0.559,0.275,1.1,10.8,6,23.9,0.9,0.3,15.8,21.6,,0.4,0.3,0.7,0.024,,-0.9,-2.4,-3.3,-0.4,georgke01
159,Paul George,PF,33,LAC,54,1823,18.1,0.59,0.484,0.215,1.8,15.6,8.9,16.1,2.3,1,9.8,26.7,,2.5,2.3,4.7,0.124,,1.9,0.2,2,1.9,georgpa01
160,Taj Gibson,PF,38,NYK,16,165,3.1,0.335,0.261,0.087,6.7,12.2,9.4,6.7,0.6,3.4,17.3,7.5,,-0.1,0.2,0.1,0.017,,-7,-0.1,-7.1,-0.2,gibsota01
161,Josh Giddey,SG,21,OKC,59,1447,14.9,0.519,0.288,0.14,6.3,20.3,13.7,23.9,1.3,2.1,15.4,22.5,,0.2,2.1,2.3,0.075,,0,0.2,0.2,0.8,giddejo01
162,Harry Giles,C,25,BRK,16,81,18.2,0.543,0.25,0.295,15.6,19.4,17.4,12.6,0.6,3.3,10.8,29.6,,0,0.1,0.1,0.068,,-1.1,-1.7,-2.8,0,gilesha01
163,Shai Gilgeous-Alexander,PG,25,OKC,59,2037,30.7,0.648,0.167,0.44,2.9,14.6,9,31.1,2.9,2.5,8.1,32.9,,9.3,3.4,12.7,0.3,,7.4,2.7,10.1,6.2,gilgesh01
164,Anthony Gill,PF,31,WAS,32,173,11.7,0.544,0.26,0.4,8.4,15.9,12,10.5,1.9,2.8,20.3,17.8,,-0.1,0.1,0,0.01,,-3.3,-1.1,-4.4,-0.1,gillan01
165,Collin Gillespie,PG,24,DEN,19,161,11.3,0.639,0.533,0.178,0.7,7.4,4.1,12.9,3.1,0,17.1,15.8,,0.1,0.2,0.3,0.085,,-3.6,1.3,-2.3,0,gilleco01
166,Jacob Gilyard,PG,25,MEM,37,654,11.5,0.597,0.833,0.014,1.3,6.1,3.6,28.5,2,0.7,16.7,11.5,,0.8,0.6,1.4,0.104,,-1.5,0.2,-1.4,0.1,gilyaja01
167,Rudy Gobert,C,31,MIN,59,1988,18.7,0.664,0.006,0.632,13,29,21.5,5.3,0.8,5.5,12.8,15.4,,4.1,4.7,8.8,0.211,,-0.1,1.8,1.6,1.8,goberru01
168,Jordan Goodwin,PG,25,TOT,45,706,12,0.463,0.396,0.163,8.3,14.2,11.4,19.8,2.3,1.9,13.2,18.1,,-0.1,0.9,0.8,0.054,,-1.8,0.6,-1.2,0.1,goodwjo01
168,Jordan Goodwin,PG,25,PHO,40,558,12.4,0.481,0.415,0.15,8.6,14.7,11.8,18.8,2,1.4,12.4,18.1,,0.2,0.6,0.8,0.069,,-1.4,0.3,-1,0.1,goodwjo01
168,Jordan Goodwin,PG,25,MEM,5,148,10.7,0.389,0.319,0.213,7.2,12.3,9.7,23.6,3.3,3.8,16.3,17.9,,-0.2,0.2,0,-0.002,,-3.4,1.5,-1.9,0,goodwjo01
169,Aaron Gordon,PF,28,DEN,55,1734,16.7,0.605,0.188,0.369,8.7,14.3,11.6,13.8,1.3,1.8,11.3,18,,3.1,2,5,0.14,,0.9,0,0.9,1.3,gordoaa01
170,Eric Gordon,SG,35,PHO,50,1490,11.4,0.594,0.634,0.107,1.1,6.4,3.9,10.4,1.5,1.5,10.7,17,,1,1.1,2.1,0.067,,-0.8,-0.8,-1.6,0.2,gordoer01
171,Devonte' Graham,PG,28,SAS,12,99,13,0.522,0.733,0.267,2.2,15.6,8.7,25.1,1.4,0.9,8.2,15.5,,0.1,0.1,0.2,0.088,,-1.1,-0.1,-1.3,0,grahade01
172,Jerami Grant,PF,29,POR,52,1754,15.6,0.573,0.326,0.367,2.2,10.3,6,13.9,1.1,1.7,10.1,25.9,,1.7,1.1,2.8,0.076,,1,-1.1,-0.1,0.8,grantje01
173,A.J. Green,SG,24,MIL,40,366,12.5,0.64,0.863,0.084,1.8,10.4,6.3,8,0.4,0.5,3.6,16.5,,0.7,0.2,0.9,0.117,,1.1,-2,-0.9,0.1,greenaj01
174,Danny Green,SG,36,PHI,2,18,0.7,0,0.5,0,0,12.4,6.1,6.3,2.7,0,0,4.7,,0,0,0,-0.04,,-7.3,0.7,-6.6,0,greenda02
175,Draymond Green,PF,33,GSW,36,948,15,0.612,0.344,0.241,5.2,23.3,14.3,28.9,1.4,3,24.2,15.5,,1.2,1.2,2.4,0.122,,-0.1,2.9,2.8,1.1,greendr01
176,Jalen Green,SG,21,HOU,60,1834,13.5,0.526,0.44,0.281,1.5,15.7,8.6,17,1.2,1,11.4,27.1,,-0.6,2.2,1.6,0.041,,-0.5,-0.6,-1.2,0.4,greenja05
177,Jeff Green,PF,37,HOU,58,960,10.3,0.594,0.364,0.5,3.8,10,6.9,7.1,0.5,2.4,11.9,14.8,,0.8,0.9,1.8,0.088,,-2.5,-0.1,-2.6,-0.1,greenje02
178,Josh Green,SG,23,DAL,48,1314,10.4,0.604,0.511,0.152,2.8,10.7,6.7,11.6,1.5,0.5,13.1,13.1,,1.1,0.8,1.9,0.071,,-1.9,-0.5,-2.4,-0.1,greenjo02
179,AJ Griffin,SF,20,ATL,18,132,1.8,0.403,0.733,0.044,1.6,10.2,5.7,3.8,0.4,0.7,11.6,16.1,,-0.3,0,-0.3,-0.098,,-5.5,-3.3,-8.8,-0.2,griffaj01
180,Quentin Grimes,SG,23,TOT,49,989,9,0.527,0.736,0.118,1.6,9.3,5.4,8.2,1.7,0.6,7.3,15.4,,0.4,0.9,1.3,0.064,,-2.4,0.4,-2,0,grimequ01
180,Quentin Grimes,SG,23,NYK,45,910,9.4,0.543,0.741,0.119,1.7,9.1,5.4,7.8,1.6,0.3,6.5,15.1,,0.6,0.8,1.5,0.079,,-2,0.4,-1.6,0.1,grimequ01
180,Quentin Grimes,SG,23,DET,4,79,4.7,0.358,0.679,0.107,0,11.6,5.7,13,2.4,4.2,14.6,18.4,,-0.2,0.1,-0.2,-0.099,,-6.6,0,-6.5,-0.1,grimequ01
181,Mouhamadou Gueye,PF,25,TOR,1,6,23.5,0.333,0,0,35.9,18.6,27.4,0,0,29,0,21.3,,0,0,0,0.115,,-0.4,1.7,1.2,0,gueyemo01
182,Mouhamed Gueye,PF,21,ATL,2,4,-0.6,0,1,0,0,0,0,0,11.9,0,0,10.3,,0,0,0,-0.111,,-12.6,3.6,-9,0,gueyemo02
183,Rui Hachimura,PF,25,LAL,48,1210,14,0.609,0.342,0.215,3.7,12.8,8.4,5.8,1.3,1.1,6.6,18.5,,1.2,1,2.2,0.088,,-1,-1,-2,0,hachiru01
184,Ashton Hagans,PG,24,POR,9,141,8.2,0.501,0.242,0.273,3.8,11.1,7.2,22,1.4,3.9,24.5,14.8,,-0.1,0.1,0,0.008,,-4.9,1.2,-3.7,-0.1,haganas01
185,Tyrese Haliburton,PG,23,IND,49,1566,24.1,0.609,0.499,0.219,2.1,11.5,6.8,47.9,1.6,1.6,11.8,25.3,,5.8,0.8,6.6,0.202,,7.9,-0.8,7.1,3.6,halibty01
186,R.J. Hampton,PG,22,MIA,8,76,0.8,0.336,0.571,0.143,2.9,6,4.5,13.6,0,0,16.8,10.4,,-0.1,0,-0.1,-0.042,,-8.2,-1.5,-9.6,-0.1,hamptrj01
187,Tim Hardaway Jr.,SF,31,DAL,58,1686,12.6,0.554,0.608,0.18,1.2,12.3,6.7,8.2,0.8,0.3,6.2,23.2,,0.9,0.8,1.7,0.048,,-0.2,-2.6,-2.8,-0.4,hardati02
188,James Harden,PG,34,LAC,54,1864,19.3,0.636,0.594,0.442,1.6,14.7,8.3,32.3,1.6,2.4,15.9,20.5,,5,2.1,7.1,0.182,,4.3,0.7,5,3.3,hardeja01
189,Jaden Hardy,SG,21,DAL,54,801,11.5,0.515,0.497,0.137,2,11.8,6.9,15.3,1,0.4,8.9,23.9,,-0.2,0.4,0.3,0.016,,-1.4,-2.4,-3.8,-0.4,hardyja02
190,Ron Harper Jr.,PF,23,TOR,1,4,0,,,,0,0,0,28.1,0,0,,0,,0,0,0,0.096,,-11.7,3.1,-8.7,0,harpero02
191,Gary Harris,SG,29,ORL,38,872,10.7,0.6,0.684,0.165,2.4,6.3,4.3,10.6,1.9,1.2,7.7,12.3,,1.1,1,2.1,0.117,,-1.4,1.2,-0.2,0.4,harriga01
192,Joe Harris,SG,32,DET,16,170,4.6,0.489,0.769,0.051,1.9,6.7,4.3,7.5,0.8,1,9.1,10.9,,0,0,0,-0.003,,-4.7,-1.1,-5.9,-0.2,harrijo01
193,Kevon Harris,SG,26,ORL,2,6,11.1,0.667,0,0,0,39,19.4,32.7,0,0,25,28.9,,0,0,0,0.036,,-15.6,-0.3,-15.8,0,harrike01
194,Tobias Harris,PF,31,PHI,54,1826,16.9,0.591,0.262,0.237,3.5,16.6,10,14,1.5,1.5,8.3,20.6,,2.9,1.8,4.8,0.125,,1.4,-0.3,1,1.4,harrito02
195,Shaquille Harrison,SG,30,MEM,3,6,15.8,0.5,0,0,0,38,18.4,0,0,15.4,0,14.4,,0,0,0,0.088,,-0.7,5.3,4.5,0,harrish01
